Tail_Number, Model, Manufacturer, Engine_Type, Aircraft_Type, Production_Year, Issue_Date, Status, Ownership
N546UW,A321-231,AIRBUS,Unknown,Fixed Wing Multi-Engine,2011,2015-12-30,V,C
N564UW,Unknown,Unknown,Unknown,Unknown,,,U,U
N916US,A321-231,AIRBUS,Unknown,Fixed Wing Multi-Engine,2015,2015-12-30,V,C
N563UW,A321-231,AIRBUS,Unknown,Fixed Wing Multi-Engine,2012,2015-12-30,V,C
N575UW,A321-231,AIRBUS,Unknown,Fixed Wing Multi-Engine,2014,2015-12-30,V,C
N521UW,A321-231,AIRBUS,Unknown,Fixed Wing Multi-Engine,2009,2015-12-30,V,C
N576UW,A321-231,AIRBUS,Unknown,Fixed Wing Multi-Engine,2014,2015-12-30,V,C
N572UW,A321-231,AIRBUS,Unknown,Fixed Wing Multi-Engine,2013,2015-12-30,V,C
N912UY,A321-231,AIRBUS,Unknown,Fixed Wing Multi-Engine,2014,2015-12-30,V,C
N126UW,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2009,2015-12-30,V,C
N537UW,A321-231,AIRBUS,Unknown,Fixed Wing Multi-Engine,2009,2015-12-30,V,C
N548UW,Unknown,Unknown,Unknown,Unknown,,,U,U
N279AY,A330-243,AIRBUS,Unknown,Fixed Wing Multi-Engine,2009,2015-12-30,V,C
N284AY,A330-243,AIRBUS,Unknown,Fixed Wing Multi-Engine,2010,2015-12-30,V,C
N550UW,Unknown,Unknown,Unknown,Unknown,,,U,U
N542UW,A321-231,AIRBUS,Unknown,Fixed Wing Multi-Engine,2009,2015-12-30,V,C
N534UW,A321-231,AIRBUS,Unknown,Fixed Wing Multi-Engine,2009,2015-12-30,V,C
N568UW,A321-231,AIRBUS,Unknown,Fixed Wing Multi-Engine,2013,2015-12-30,V,C
N583UW,A321-231,AIRBUS,Unknown,Fixed Wing Multi-Engine,2014,2015-12-30,V,C
N524UW,A321-231,AIRBUS,Unknown,Fixed Wing Multi-Engine,2009,2009-07-20,V,C
N207UW,757-28A,BOEING,Unknown,Fixed Wing Multi-Engine,2001,2015-12-30,V,C
N549UW,A321-231,AIRBUS,Unknown,Fixed Wing Multi-Engine,2011,2015-12-30,V,C
N290AY,A330-243,AIRBUS,Unknown,Fixed Wing Multi-Engine,2013,2015-12-30,V,C
N571UW,Unknown,Unknown,Unknown,Unknown,,,U,U
N917US,DA 40,DIAMOND AIRCRAFT IND INC,Unknown,Fixed Wing Single-Engine,2008,2017-05-01,V,L
N286AY,A330-243,AIRBUS,Unknown,Fixed Wing Multi-Engine,,2015-12-30,V,C
N528VA,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2008,2008-03-28,V,C
N627VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2006,2017-08-31,V,C
N844VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2011,2011-09-30,V,C
N842VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2011,2011-08-22,V,C
N630VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2007,2019-12-04,V,C
N847VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2011,2019-10-23,V,C
N839VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2011,2016-08-24,V,C
N642VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2008,2010-07-07,V,C
N626VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2006,2017-08-31,V,C
N845VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2011,2011-10-18,V,C
N629VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2007,2008-12-18,V,C
N638VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2008,2016-08-03,V,C
N846VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2011,2011-11-15,V,C
N622VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2006,2006-03-24,V,L
N361VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2013,2013-03-18,V,C
N640VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2007,2015-08-07,V,C
N841VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,,2016-08-25,V,C
N838VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2011,2019-12-27,V,C
N853VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2012,2015-12-18,V,C
N634VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2008,2008-01-14,V,C
N636VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2008,2008-04-16,V,C
N840VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2011,2019-10-02,V,C
N854VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2012,2012-03-20,V,C
N835VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2010,2015-08-18,V,C
N628VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2007,2007-09-26,V,C
N633VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2007,2007-09-13,V,C
N837VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2011,2011-01-21,V,C
N855VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2012,2012-06-21,V,C
N641VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2008,2010-06-21,V,C
N526VA,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2008,2019-12-30,V,C
N632VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2007,2007-08-17,V,C
N623VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2006,2008-12-18,V,C
N639VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2007,2010-08-17,V,C
N635VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2008,2016-08-04,V,C
N521VA,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2006,2019-08-05,V,C
N637VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2008,2008-04-16,V,C
N631VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2007,2016-08-26,V,C
N836VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2010,2015-08-18,V,C
N848VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2011,2011-12-22,V,C
N522VA,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2006,2019-06-27,V,C
N523VA,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2007,2007-07-09,V,C
N527VA,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2008,2008-03-03,V,C
N524VA,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2007,2007-08-08,V,C
N529VA,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2008,2010-12-03,V,C
N625VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2006,2006-06-19,V,L
N530VA,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2008,2010-12-06,V,C
N621VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2006,2006-02-23,V,C
N852VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2012,2012-02-06,V,C
N843VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2011,2011-09-29,V,C
N525VA,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2007,2019-12-27,V,C
N849VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2012,2012-01-26,V,C
N194UW,A321-211,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,,2015-12-30,V,C
N851VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2012,2012-01-31,V,C
N624VA,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2006,2006-05-30,V,L
N7814B,737-7K9,BOEING,Unknown,Fixed Wing Multi-Engine,2001,2014-04-25,V,C
N8618N,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2013,2013-12-16,V,C
N927WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,,2008-08-18,V,C
N920WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2008,2008-06-11,V,C
N271LV,737-705,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,,2006-10-20,V,C
N8609A,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2013,2013-02-26,V,C
N7741C,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2007,2013-08-12,V,C
N8652B,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-11-24,V,C
N562WN,737-790,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,2000,2014-04-25,V,C
N8634A,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-07-08,V,C
N967WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2011,2011-10-24,V,C
N7728D,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2006,2014-04-14,V,C
N931WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2009,2009-04-10,V,C
N7711N,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-04-20,V,L
N968WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2011,2012-01-20,V,C
N952WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2010,2010-12-27,V,C
N7815L,737-76Q,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2003,2013-05-21,V,C
N958WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2011,2011-06-24,V,C
N943WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2010,2010-03-31,V,C
N7712G,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-06-02,V,L
N7745A,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2007,2014-08-28,V,C
N953WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2010,2011-01-19,V,C
N8616C,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2013,2013-11-14,V,C
N7751A,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2008,2014-06-19,V,C
N8635F,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-07-09,V,C
N8622A,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2013,2014-01-27,V,C
N8614M,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2013,2013-05-02,V,C
N601WN,737-3H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1995,2018-08-09,V,C
N8650F,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-10-15,V,C
N926WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,,2009-01-20,V,C
N8644C,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-12-31,V,C
N937WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2009,2009-06-18,V,C
N8604K,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-07-03,V,C
N8329B,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2013-01-08,V,C
N7744A,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2007,2013-09-11,V,C
N7708E,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2004,2010-03-23,V,C
N7727A,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2006,2006-06-15,V,L
N960WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2011,2011-08-15,V,C
N963WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2011,2011-08-22,V,C
N7740A,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2007,2012-10-18,V,C
N933WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2009,2009-06-04,V,C
N955WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2011,2011-04-30,V,C
N8653A,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2015-01-12,V,C
N940WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2009,2009-07-09,V,C
N7702A,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2004,2012-05-14,V,C
N962WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2011,2011-08-18,V,C
N7718B,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2005,2006-01-03,V,L
N8305E,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-05-04,V,C
N8623F,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2013,2014-01-30,V,C
N7746C,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2007,2013-07-02,V,C
N930WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2009,2009-04-10,V,C
N708SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,2019-11-20,V,C
N8651A,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-10-30,V,C
N7811F,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2001,2013-03-27,V,C
N8325D,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-11-30,V,C
N969WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2011,2012-01-21,V,C
N8306H,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-05-14,V,C
N961WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2011,2011-08-17,V,C
N7709A,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-02-18,V,L
N552WN,737-7BX,BOEING,Unknown,Fixed Wing Multi-Engine,2002,2010-09-28,V,L
N602SW,737-3H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1995,2018-08-09,V,C
N8603F,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2013-11-15,V,C
N8613K,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2013,2013-04-09,V,C
N924WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2008,2008-07-29,V,C
N936WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2009,2009-06-04,V,C
N8626B,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-05-01,V,C
N7724A,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2009,2013-11-06,V,C
N8654B,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2015-01-05,V,C
N8612K,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2013,2013-04-05,V,C
N8633A,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-06-26,V,C
N922WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2008,2009-01-20,V,C
N7749B,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2009,2014-09-19,V,C
N929WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2008,2008-08-26,V,C
N942WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2009,2009-08-20,V,C
N7750A,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2008,2014-09-04,V,C
N934WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2009,2009-06-04,V,C
N7704B,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2004,2012-07-06,V,C
N8648A,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-09-18,V,C
N8607M,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2013,2013-02-04,V,C
N932WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2009,2009-04-10,V,C
N7714B,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2004,2019-10-23,V,C
N8621A,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2013,2014-01-03,V,C
N959WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2011,2011-07-23,V,C
N8313F,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-07-12,V,C
N603SW,737-3H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1995,2018-05-21,V,C
N8627B,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-05-15,V,C
N8608N,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2013,2013-02-05,V,C
N8641B,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-08-12,V,C
N8312C,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-07-09,V,C
N8303R,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,,2012-04-27,V,C
N8328A,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2013-01-03,V,C
N921WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2008,2009-01-16,V,C
N8601C,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2013-11-18,V,C
N8315C,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-07-25,V,C
N8605E,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2013-01-08,V,C
N8310C,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-06-15,V,C
N7707C,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2004,2010-03-25,V,C
N8319F,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-09-14,V,C
N8646B,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-09-04,V,C
N8321D,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-10-10,V,C
N604SW,Unknown,Unknown,Unknown,Unknown,,,U,U
N8307K,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-05-18,V,C
N7813P,737-7K9,BOEING,Unknown,Fixed Wing Multi-Engine,2001,2014-04-25,V,C
N293WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2007,2007-10-09,V,C
N8645A,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-08-22,V,C
N957WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2011,2011-06-21,V,C
N8611F,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2013,2013-03-12,V,C
N8327A,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-12-28,V,C
N8642E,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-08-20,V,C
N7722B,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2006,2006-03-23,V,L
N557WN,737-790,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,2000,2014-04-25,V,C
N7733B,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2006,2006-10-18,V,L
N8314L,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-07-20,V,C
N928WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,,2008-08-22,V,C
N560WN,737-790,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,2000,2014-06-20,V,C
N8632A,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-06-26,V,C
N944WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2010,2010-04-13,V,C
N8638A,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-08-08,V,C
N945WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2010,2010-04-06,V,C
N7735A,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2006,2012-09-13,V,C
N949WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2010,2010-08-16,V,C
N8323C,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-11-09,V,C
N7732A,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2006,2012-07-23,V,C
N951WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2010,2010-09-10,V,C
N7812G,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,,2013-04-04,V,C
N8624J,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-04-21,V,C
N7721E,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2006,2014-02-24,V,C
N7726A,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2006,2012-06-14,V,C
N948WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2010,2010-06-24,V,C
N8625A,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-04-22,V,C
N8619F,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2013,2013-12-19,V,C
N8647A,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-08-27,V,C
N8628A,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-05-19,V,C
N500WR,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-07-09,V,C
N7752B,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2008,2014-08-19,V,C
N8620H,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2013,2013-12-17,V,C
N559WN,737-73V,BOEING,Unknown,Fixed Wing Multi-Engine,2002,2015-12-09,V,C
N947WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2010,2010-06-18,V,C
N8615E,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2013,2013-11-04,V,C
N8637A,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-07-16,V,C
N8617E,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2013,2013-11-18,V,C
N8629A,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-05-28,V,C
N8606C,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,,2013-01-29,V,C
N8311Q,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-06-26,V,C
N950WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2010,2010-08-20,V,C
N8320J,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-09-17,V,C
N7715E,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2005,2013-12-02,V,C
N919WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2008,2008-06-10,V,C
N954WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2011,2011-03-17,V,C
N8317M,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-08-09,V,C
N8309C,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-06-01,V,C
N7703A,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-09-29,V,L
N8630B,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-06-11,V,C
N8318F,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-08-28,V,C
N554WN,737-7BX,BOEING,Unknown,Fixed Wing Multi-Engine,2002,2011-01-18,V,L
N7705A,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2004,2016-10-28,V,C
N939WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2009,2009-06-26,V,C
N8308K,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-05-29,V,C
N7742B,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2007,2014-02-11,V,C
N964WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2011,2011-09-20,V,C
N7734H,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2006,2012-08-14,V,C
N7737E,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2006,2014-08-19,V,C
N7720F,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2006,2014-01-22,V,C
N8640D,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-07-31,V,C
N935WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2009,2009-06-04,V,C
N8326F,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-12-10,V,C
N7736A,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2006,2014-07-08,V,C
N8602F,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-09-14,V,C
N938WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2009,2009-06-23,V,C
N8655D,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2015-01-07,V,C
N8610A,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2013,2013-03-08,V,C
N8302F,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2012,2012-03-27,V,C
N925WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2008,2009-01-15,V,C
N7706A,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2004,2005-01-03,V,L
N7701B,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2004,2016-10-28,V,C
N600WN,Unknown,Unknown,Unknown,Unknown,,,U,U
N7713A,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2005,2013-12-11,V,C
N7747C,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2007,2014-07-29,V,C
N8643A,737-8H4,BOEING,Unknown,Fixed Wing Multi-Engine,2014,2014-12-30,V,C
